COMPID	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72	73	74	75	76	77	78	79	80	81	82	83	84	85	86	87	88	89	90	91	92	93	94	95	96	97	98	99	100	101	102	103	104	105	106	107	108	109	110	111	112	113	114	115	116	117	118	119	120	121	122	123	124	125	126	127	128	129	130	131	132
21049	35067	7436675		1143481	264364	706841	197500	1089826	127725	237422	919171	1831174	1239256	2590701	79636	380202	173536	365589	2361518	600072	1687122		275924	376151	1516592	436911	520679	376429	501796		208743	371350	62828	372656	741263	1442302	435422	250152	1913738	446148	2800650	1365301	134425	307999	74661	155950	209676	757657	376429	1706217	296735	398258	831811	90814	220077	334921	109661	120523	4219480	283293	709800	316629	244653	388931	50562	61906	148016		417838	84561	1747162	133606	364192	522819		2673038	162962	223173	102216	1140381	1269508	741701	122431	531395	234500	1962327	1817453	139189	484152	635993	330795	72478	362537	380589	105119	1254060	184743	166209	130335	109782	2510900	218939	2965649	100315	731004	151475	96787	1366049	281897	2883977	3157399	262562	317871	859867	89566		102939	762022	137318	553834	357049	2748560	210559	637060	2974362	387269	1508322	689616	84773	3159170	2139292	402808
34400	4132488	374764					256246	48844			59624					7041	12565		8668	21278	274878	64408	69261	654168	310989	54871		13353	762839		97431	17672				41830		42708	102544		40167	60378	119373	399528				513541	972646		1006561	118752				507215	1876766	815782	965976	1328375	47153	374764	54722	525129				26379	129734	926710	1385241		1170804	20384		438539	189133	56418	1400505		2935497	495279		837210	723819	239894	6069883	3126718	188412	350000		193216	211227	1534728		191556		2143167	784183		73838	630321	1339232	65008	1223723	541045	2461183		702600	912537	1901308	160624	83631		840490	54645	1114554	1338615	611289		288797	782104		207728	1460956	350267	1776097	135162	1192583	1526271	1095446	157253
33971	187184992	81459968	85640008	48892188	202991840	41218276	43473060	43479180	150033184	122900264	33168278	120296264	53895628	65861996	154145152	34771264	148298048	134691456	30800620	47397668	49282980	204331168	49521588	105506376	81854224	17855794	101213112	46530712	75120832	164199776	30927788	52676028	33711960	48339792	49959180	130022296	16365062	55834664	242382160	106418296	27715456	47656356	46594648	17566052	65522548	21581948	46018156	87224400	231080704	35386396	20857088	102968336	76247072	27698474	15793897	59886988	61998056	43732008	41521584	94967144	112380264	27401702	46348080	48981112	54057264	82300112	10228014	17879490	28179238	45639928	44833672	115209976	45837028	138082240	72370544	79934144	134087008	18085196	50498040	22455964	47528716	47473716	112915304	55920536	29630772	15646798	22051580	54085584	28547036	44667716	46606776	67241344	18800390	59386016	76215352	30467094	18257708	51498120	34627328	91598184	12115620	7445990	16862070	41514028	14443502	61407604	12710756	34293692	42207764	43654332	11557075	51772820	40294328	16964024	83212432	56481996	23359496	19440864	33029402	21059350	53435244	13638027	143307744	54993892	18728002	47409780	34702624	17707674	8592539	20468156	30742082	14397532
33972	17209502	23260294	18856488	27098204	63171800	7115065	13971122	10950682	17180980	33851224	10936734	30325252	10959086	18507558	65438580	9660907	38731788	25998542	3345207	13100320	7662728	34215904	11238290	13436586	26218078	5758356	24720682	12005205	16782106	47365832	8424039	10570293	11038395	18833956	12516226	21672110	4433244	15174521	29247382	15156431	5000831	12366309	12645445	3185675	9405710	3732944	15971405	13356027	52089660	7617257	7496296	20523270	12574207	5609738	6007618	10121078	6968173	10789031	10229223	17752392	17950126	6120289	11910171	11029991	13693361	15820769	2486472	3869281	7288263	7320202	9275883	15076303	4400462	16784552	13458032	19095960	17774420	2200642	12462668	5020844	9928636	11052342	18343388	7639359	5804077	3710152	4455594	10530130	7759899	6805205	7890536	20654700	4797492	9758914	14414768	9449187	4906666	11706191	6916732	31883736	5696362	4105509	4628709	13524768	9827002	17800832	2857932	9990870	17951552	10709823	2245977	13653823	14310059	6279946	16866570	16953432	8515845	6868116	6287781	12401607	14628710	4436868	26085340	11674052	3958616	11279253	6654454	1774495	3753404	4309832	6344152	2559257
32497	3827849	10033941	11270269	9849852	16325588	4192432	3663851	4040506	10224761	9925226	5829902	11937940	5033714	6250548	5645212	6561014	12520092	9506764	2175012	2160098	1735733	6700290	4736374	2270338	5525160	2191378	5636374	8301379	9847653	6353211	3045512	4244147	27507490	2505055	8245382	20101990	2756930	6501937	5509630	3539905	2474708	2238120	10673255	2060289	5103939	8314421	9361590	14020379	6257085	1148435	4582585	12456730	6901798	6845224	1212177	2345368	2029850	8631229	1625953	3964907	6281913	1368060	4865171	1944841	4690403	14525365	2732182	3711089	2785938	9826660	2408162	1400410	1689576	6422393	4263502	3851976	2319852	3160329	4492671	1544898	2827784	7022153	7672283	3903771	4350957	6139029	4691595	2380518	2739826	4898581	2057436	2818870	2505850	1020998	4436034	2748643	5464904	3904017	4735181	13773813	4844191	5075820	2784557	15530332	5885176	20838720	1867131	9282163	4877696	8101601	3440913	13798709	3940979	5488719	6297053	9952374	3888758	2375290	4340391	4346237	7637977	1459365	8192622	7738246	5277627	3990879	6397460	2300052	5424501	3388435	3109826	2069021
39779				153388	351207	61869			57418	7705	87025		29626	79721		46195		17081			28948	57418			20165	96399				45073							22527						52980	27589		127440									57418								106879			50580									71452																									42489	32828		21303		94793	89484			330272			220358	32045	14157	184552	118253	48167	91807	92089	64256		16508	19168	222293		81784	54472					
47135								65297										49658					49293						21654	41277	58142	12060	13491			82546	31738	10923			103316					142195			77789	113388		10925			109079	12861		113702	22473	46244	18774	29030	223686	45703	39475	132935	49298			50265	152128		25972			8873	45703	33287	31751	132417	56232	80550	39741	15046	48555	83393	30289	45150	59361	53642	25211	124148		46639	47624	19933	7457	48679	28077	93757											18182	109073	39836	39787		45703		40906	44767		68637	41174			29410	71958				38013	21416	99763
38395	3368020	1241630	680611	94502	753824	683141	1307714	1300706	402985	4705250	1200449	1285261	152197	335458	1195210	723296	1056694	897737	1143706	1374649	1216483	948925	1091855	782569	450681	446662	2798378	608360	285599	1670625	966772	1357601	470490	3834834	239395	370838	341188	409241	1513379	2767309	769455	2666068	635070	875054	413611	403689	607480	1855556	921179	370368	548461	1079418	254490	913526	1392073	1368869	583796	572928	651230	682022	351683	1384396	736265	272171	948550	962981	129553	433411	751465	1086122	2525667	895160	1026905	1150033	548111	938216	397568	509275	250314	801281	1407909	141896	312787	6104569	328903	500327	84164	194090	380237	305800	665080	1698139	495283	1179544	375800	609175	1660176	1016528	817405	277708	382053		527986	458358	213892	984895	657266	464009	507291	341365	473094	394636	2301709	196398	397851	381833	681319	398735	221416	200481	749269	853167	1851693	707893	721282	649974	683433	458789	682725	403317	1158022	698964
37536	67085836	21882000	54268116	12748814	13054548	15003620	18503162	4767373	10391387	24091156	10838848	13664053	3372495	7601978	8186124	5334956	13293183	8849190	3241393	10022484	17752176	9197505	18381752	15190499	26673690	22090136	18670016	20130204	15338850	37868416	11612933	16607702	34871456	5751363	8985782	11660878	13181800	25746514	5961055	36236120	16017562	10174050	15719053	1926613	10231814	29285372	13309318	20840198	15829929	2547166	25754636	12660218	6280974	2599270	1100341	20066080	49267944	10931890	14054612	17598692	9227899	6951749	9655258	5931305	10120606	21960104	5152797	17671364	9708702	7820239	15966701	62148240	52732140	9914654	3356452	12639271	14260786	1256504	13387523	39738380	53787668	59028892	5445523	17905726	33427934	4424003	3726222	56511200	10631803	3463926		21002256	3502484	30285654	25056292	5689379	2905231	6216265	5680504	27352000	1526172	1485363	1015997	634316	783316	2434627	2086001	2828187	928578	857446	871057	1339569	1890412	1388448	5494653	3404248	777597	1253162	679858	738917	3255987	1581670	16263095	7475064	4355106	1838132	6789787	1017448	1870155	3616657	4945355	256323
37752	258123472	28641808	44802040	3492531	6156240	10889881	46421120	7624692	8854543	40321328	69560088	43174380	7434925	4236947	15916514	5882317	9387396	4016824	8277764	10845222	6518400	5228157	11519235	13733684	23975108	208051088	27828436	23614332	153102352	132076424	27664996	23134126	13912589	34846536	21076350	12289453	30636800	5893826	10833944	43516936	62145652	31407210	8499741	9645281	13930591	64779868	47822180	46298976	22459584	4324348	17947774	13689025	4816984	6136891	5078354	174379376	100595088	187509584	33389356	15567116	14404019	15399678	32430750	15191511	35737140	20467084	14737117	18820540	11146527	8282777	4132115	32237728	106597368	66312520	23593812	22145368	22516844	1283695	58767316	224221424	231190928	228123888	10677792	42948780	52203592	51919544	2553440	107998496	866661	4086618	151494432	55539972	1823707	127127200	87952688	1897658	6019307	6183525	9904840	39119988	3431012	546905	4932274	3827480	581077	3380982	3655808	6532835	1076090	1609222	675788	1071810	3149116	748301	3203322	999176	1259350	783023		2799856	2697602	4398421	18806928	9143963	225189	1554065	8134672	2651899	1055965	27826042	9559329	2091779
