COMPID	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72	73	74	75	76	77	78	79	80	81	82	83	84	85	86	87	88	89	90	91	92	93	94	95	96	97	98	99	100	101	102	103	104	105	106	107	108	109	110	111	112	113	114	115	116	117	118	119	120	121	122	123	124	125	126	127	128	129	130	131	132
22053	2666310	4062613	4469827	2173326	14311789	1256276	2450380	3298562	1504951	1236931	1922813	1487208	876282	2712617	5001821	1850187	4660743	6280559	2035818	2818260	1875280	3922320	1775614	4985805	3124220	1027151	3488179	2194817	2464588	5560615	1956240	1528773	3527944	2846600	2009575	2799431	1534769	5768008	3190465	2040476	1537037	1752105	2803979	1227994	2003835	961298	2458593	3766223	2434802	886470	1804884	5087899	1827016	1808217	1397376	597645	3770708	1180965	1433586	2025152	1942866	632859	3947935	2574332	1267062	2180602	696711	944417	1510798	1532746	1659281	2071285	1158012	1612455	1224875	2939476	1342928	907422	1990399	1105297	1557093	3576088	2820069	1413010	1358515	1802585	921210	763762	1909440	1019097	1120384	1584573	1468837	1023986	3893075	1550883	1006502	2316698	1739250	5772395	1122956	1366686	2449034	2446621	2879830	2463545	1428103	1816518	3912761	1769332	1518377	3065473	2863338	3304146	5500537	3337186	2066563	1688858	2281691	1867931	3823529	1178640	2860369	2080066	2015492	4255044	1788684	1277769	1430148	1482736	2227895	1251969
39600	1506672	752262	1233839	2045079	408907	2958407	1568676	542865	719158	260672	1553209	1249204	893644	1494420	123263	1358236	2035237	178277	155687	186909	739364	1334714	822000	920437	3528114	184777	466636	1299604	14838221	433510	566347	275708	382373	899002	148655	153945	30565	125950	1487645	2070173	338325	382082	621712	376599	3992578	531112	1504662	126012	294718	630930	393240	631183	261300	3020222	333004	677273	599163	349813	854362	644284	714932	77705	5696549	846291	611451	72648	156558	3244701	144814	649614	1079444	393416	3582383	924934	169336	4725733	306188	1656827	276006	942419	1128113	2103902	127437	755133	349290	108893	95026	347748	354555	641444	666413	162792	126236	495602	142968	453044	982114	2027680	1275010	2002458	621965	499160	438406	792190	249508	230625	30961	1191787	654579	62247	1404971	5429587	2749744	1320482	711420	1953994	1740371	715165	298013	393570	411285	483496	782273	987813	244576	120726	171738	1110691	446441	2175829	223864	603281
1549	21096148	32315660	105597696	42451328	85988376	10108146	9437664	18548634	18391804	42421092	11451193	52396456	15206216	30117294	61647944	9425139	24478820	30864114	18993670	13158183	10196023	27040688	14758392	16273005	29206266	12619326	40120916	30912952	36674228	57236532	10425744	12566431	23639118	11071940	12262320	33285260	42016864	48819864	24510656	26914674	16751093	9403747	20423288	8458062	7046467	10992547	12497257	19083986	65192076	19333916	26584348	31892694	21958828	15068336	45315888	9032938	16507971	25001140	9894390	9861834	27567976	19046522	13206938	13578588	23385534	17290378	16654061	4779896	15193104	12274009	8963027	25326820	8850434	10805918	23833690	11280547	11858153	13308098	18966792	33458460	13228940	23687914	29218558	26389464	19383856	14181646	12402298	24579364	17260120	14442562	17582132	24689376	23598032	29728700	27367154	14582365	19699902	33881640	10775325	50874832	13634268	16563582	11012102	21018112	13544004	21199490	33325960	26061516	19749844	15991059	10474076	20037240	37794704	23983198	21903336	54026492	18067502	26323206	13154076	23035246	15563932	12276869	46036840	20497534	42365012	20703458	19999776	42423024	18959728	26668128	12406154	29183202
32457	1481567	1510710	2581288	2417945	7763518	847849	1553673	1643523	1403788	896070	1158086	845284	547327	1996560	4908374	1143869	3690172	6428655	1155504	1780516	977252	2839759	1102099	1321933	1784299	744590	1825665	1409828	1614324	5019980	522749	840838	1502770	1197246	2000374	2591371	725945	3634951	1208931	1609475	714071	777271	2216972	632480	1711576	1082595	1426453	3371615	2191805	605318	740852	3741091	1830296	636630	543703	377935	4124818	712689	676031	1383403	1342672	729232	4264429	2394083	812067	1638758	457946	674925	986391	904046	919590	828393	742157	796551	1424679	2030629	1373000	381772	1440276	691530	875917	2144632	4111936	1157110	703896	681126	512086	622626	826446	520665	809022	1333588	922933	1379098	3583846	1017972	404119	1273874	722461	5651497	746995	1199812	744872	1123510	1260409	1940902	555199	1222382	3701292	1248723	496700	3014151	1826481	1541665	5349271	2403266	1485791	1554310	1874894	1434002	2234896	577983	2951348	1235272	477530	3104004	1183781	544982	776610	631032	800076	1026402
22001	2144680	4012886	5413299	1307764	11614482	1011278	4616227	4929023	869060	810336	2282197	1095455	745677	1814904	4145867	1966591	3608727	3311470	2393038	2952070	1417404	2675559	2069809	5552653	3054166	1166077	2218449	1959272	1998986	2935279	2571433	1902518	4939354	2292860	1780861	2725536	1758219	4336460	5860378	1745302	1794056	1701683	2307864	1271764	1929354	785634	4008046	3098984	1863241	584091	1665406	4388421	721733	1865075	1098399	853411	1499442	1118392	1177323	1187633	951786	426646	1980060	1214286	878873	1632273	743172	554293	1319098	1801392	1916173	1652545	681281	1544135	709803	1922706	755422	1261990	2936028	1152779	1342521	2603461	1367266	682836	1460346	3003243	629249	498137	2600309	1105666	823505	1580639	1201918	514086	2185404	754405	1127401	1947020	1486219	1939503	1470707	1065387	2390686	2504720	3099111	2877277	1169217	1356805	1740449	1771413	1635599	2015389	2126218	3572099	2254941	2644602	1959310	1720663	1681585	1117813	2508089	1225336	1736989	1186584	2302835	2357471	1806972	1204353	1811825	2019283	1888050	900834
48448	607969	666073	288351	290378	102694	306244	1337966	800148	259275	82584	663137	566948	1046191	112903	169871	367294	225860	650919	1310908	649759	494598	431948	2915242	1039983	478042	484394	522034	503632	537940	104271	565648	511106	539554	978317	501924	243255	240810	1007260	554436	557858	349376	658305	302212	276304	579766	327867	1961357	338858	193386	258690	390600	261941	55370	189087	684003	882272	211767	796972	195180	154543	320580	390600	803378	174812	446305	323076	434839	427191	272088	319232	1324968	371572	490372	46634	470968	1740149	163539	254585	214015	196242	1005024	881563	200303	973123	511337	1164926	71482	468388	785899	1065543	950201	3534036	501047	203441	179135	472266	1525299	66891	529975	85124	409343	858735	555482	686029	479132	718376	651992	175963	185635	298975	730883	380642	1224787	399543	123112	677157	169966	386722	250027	450760	486645	1676095	479200	121435	806133	441310	395638	492474	13606813	16450153	464034	1283582
31943	155122	108384	488052	115995	2327127		175486	334804	42602	159817	145893	90893		249577	390682	42096	121555	213598	236325	140633	109066	74005	78323	254824	175999	33611	165009	98692	83179	671684	111309	113123	398350	118044	104541	144630	85326	430069	136238	152063	123191	100095	57422	19377	26887	75140	120614	209141	107516			301988	21994	44908		58749	73602	74228	33148	7026	47429	113901	79077	53392	35979	39631	15641		27093	80696	39741	61347	111755	58473		61300		34191	157262	35515	66114	195200	31896	103738	50433	200565		17030	106011	74599	32120	126401	78454	79269	93481	14132	19693	89152	16491	121307	33623	53200	32351	105687	147160	82504	27161	27127	81576	27500	28632	81735	20566	179085	85739	179134	59796	20467	76725		167112	19070	48755	17396	117126	114168	53934	54983	82504	96575	150752	81829
27672	58032772	95455832	119308184	89194488	57626044	52513964	100169504	96488320	187901104	70068048	51260156	93927784	92433056	97161096	72317136	128841832	19991108	68085560	76458672	86353496	101392272	108337472	95406360	119880008	127064384	91260088	83585016	73837848	24835810	95385144	136687072	74288544	88104392	26697236	30927544	156011920	103294624	89278208	142028000	116154192	80678080	34294068	88129672	114097176	91814840	110541712	95167920	62331948	61375440	132028640	60648904	97632272	64737244	58749664	152882720	71690048	127509472	36473844	124737520	103310224	119179288	50555432	78251840	128590968	35503612	20927518	117513920	81743416	75051672	136032064	116946336	77361312	142612432	100004400	79537304	125937616	60659152	143941184	97247224	120905168	125303208	161139952	35423648	101340752	93720392	36620648	123526448	118474752	92269968	84993288	28676354	76131624	102495088	15193401	14386581	64512452	32090168	65798240	45559320	128372800	58977508	101099392	53222876	67824176	50716676	33529548	53779548	114969600	49629080	66356496	49992160	95430392	77768664	144812336	102351792	88584800	89479528	40206512	81989736	102418152	90920120	135255744	97632568	120841448	86874952	49690640	102265832	98643824	93377408	83987336	97187472	127627504
48763	312151				11508		3780	2306				8975		163845		18217								35663			11027		424172		21403	26806					32894			28323	20985			10928			15254				129953						53334			32017			18091	44689	53918		11548		10916		11232			21521		9935		28436	7025			23048		69624	24516					8177						24927									4875	125870	13885	23800	54873	338185			31347		125737	156220	171074			26054		25338			7710	19126	39868		50939			
48752	21038490	3747743	217857	1487832	563082	183215	959728	687428	573363	71322	1999910	500557	149407	4356749	227293	1532961	402534	31454	464979	245730	257910	317745	308934	1967036	1538543	287528	1176789	357039	10675173	213575	574200	885518	415970	196028	138293	190553	1880347	327837	414902	1204467	1290948	365653	765981	748830	678238	191534	1197767	224934	145072	725934	6134890	442873	510747	1921272	612882	358766	3095904	167726	454933	1872610	617453	284895	2144275	2504034	2195079	580072	768728	220698	845488	104287	1207619	144543	411715	1402286	315097	1498896	67510	1299560	710612	254695	1242181	1030523	81652	5138751	801319	377068	36298	202880	132508	658671	125271	669278	125681	627072	62063	1852749	341684	1065417	760759	145953	376000	5015051	172451	341898	1810172	3341063	788949	1018322	2772147	10542628	794420	618365	3927021	336064	5725175	5584229	9496033	960953	552223	2757110	1372023	978700	1043806	981450	696388	787383	1967643	1207510	3346236	599685	706995	2420167
44618	59629	99312	73969	79747	87101	43553	35309	84786	96035	114014	81785	102200	99727	72051	64885		53267	80936	85120	68946	71297	98675	54535	63537	61406	106268	115338	63719	61646	73886	86832	26635	127360	308365	25789	52182	21842	60339	89017		128949	111208	46186	68255	146824	72856	80801	31080	26078	19901	65068	45582	56285	15978	30329	66312	42693	64236	25137	50216	17502	103921	18146	19715	52117	33971	40619	193699	25672	59156	35362	139300	82847			30363	74743	29826	56137	125680	83165	109512	41469	130763		97793	61074	88762	57221	45971	58184	39973	74829	68171	49097	17967	94468	98766	25841	48694	92143	40723	29964	69853	90982	43421	76122		30676	51071	28910	22286	60364	60352	30130	72485	29627	15817	21036	29016	37007	34560	84364	80140	41175	44685	54157	31429	48809	27081	60352	124834
12017	1254456	878178	661177	979510	752155	844271	1122814	980059	871968	498456	1066256	1025276	781697	644752	851641	993849	608556	724084	731995	704620	732822	509852	816897	1023607	709852	944773	854869	659102	1000180	495624	823020	584397	1530857	559115	831501	769137	599670	796398	453525	728816	774077	728118	707104	661461	823871	773683	468677	824065	716059	771899	1002368	695806	540519	654380	715876	423515	748278	561981	627627	499633	800096	731490	683262	779137	612136	796845	756194	665816	713513	747452	355829	899316	832319	720641	566397	638425	416784	858471	499576	663245	756189	711686	793892	1051463	503049	817231	642517	440022	767618	593974	654204	501517	723027	462757	652415	585012	575355	532251	467800	486220	1135351	888924	680677	934733	1194198	951807	905033	990270	1299203	856196	708574	1036103	1172932	827552	776173	1628956	1179119	465258	817706	923894	503914	956495	897383	1115206	780919	995072	843439	487084	441934	459342	551790	558307
46165	412069	15648331	289868	31543		114390	5916564	492622	294846	53227	733362	263307	1269142	169421	55251	719768	1926197	191154	533640	515460	448206	116902	495854	2579905	155081	1129022	308633	89836	8150382	8814	1025513	331682	2625883	898095	85959	165915	9752227	1479658	524701	1625534	2767099	424493	174588	4872980	4624896	290538	2123998	437572	110434	900412	56776	614517	1417596	1088348	107350	386876	166507	144144	682734	371441	902602	437734	142343	179306	2167800	932660	341408	243190	847702	331191	256230	377230	434696	313112	35145	2022102	98304	1595360	1356272	46150	483381	1862496	1517750	1739426	314559	287724	206911	133716	2337474	987726	124347	346759	434762	512228	122524	260668	1155228	699392	287042	504041	767740	712744	1373891	450991	2104095	987063	155874	144957	521900	2231629	388325	237969	1011467	730346	341484	310019	103150	1625619	118647	5451002	709215	10203238	1461881	1380459	1063571	2696159	1022102	2008464	2761263	8771175	1598302	5177365
46164		1825144					315077						30873			19895	86696			10690				79160		23848			324020		78286		75242	9539			350885	78117		81689	119685			315206	94872		129013			77201									24704						72713	15719										96310		55718	4227					91480					39937								51610	25615			15470		31771		235568	74529				77201			127218					66219		163024		324564	84595	16348	72718		43132	66844	159693	825387	12229	215346
44526	6039598	6441940	8152559	15806465	12836766	5248418	4675272	14628622	8546892	3477504	4596886	8813853	4822156	10074207	12144240	11628697	8043352	15230698	11424713	14378062	10036792	14727039	6801273	8936266	5404375	173994	10842248	8116580	2485055	1124774	5734316	9500925	6077985	12998785	9258634	7722228	9207070	8040441	8899997	9557529	5843092	9320123	10038303	8756780	9258634	726706	7153124	3164856	11348701	23571526	6925382	5868268	13077447	10935081	14899318	140225	9016343	872447	7919099	10585265	8220214	6831156	5103075	9197145	8335880	7546069	8849542	7216625	9741453	10093181	8207300	7240313	743912	6162723	7073754	6413148	7112075	10572743	2098411	1083078		127785	8652634	10594616	1899701	6944907	8634707	3353039	7928268	9610168		6855333	11851232	2589831	1625984	8888249	12256920	17677616	9435298	15005358	10515636	10838632	9682755	12719656	15544189	11050741	10384273	13576784	11728510	11702241	11771026	14058433	10337975	13383200	15959194	18062882	12939626	14981289	12705646	13162840	15062957	12120226	13398814	11253304	14301747	12123442	11966573	13883813	10656942	5392473	13127656	13580142
15676	72622160	55780768	68220872	61219380	55040420	35021804	23368848	67165336	39512016	35594552	31969936	71728608	28548318	46965004	72247976	51152856	41907372	71797264	52770236	62366388	58586080	60961284	49030220	44124340	48925940	18051782	84137568	47226776	35891724	30078518	33373536	41261792	43864384	50609996	37059376	55615628	55782108	59003580	60365064	50783912	40161212	49704228	51706548	36012784	33694584	25965166	49943916	23516290	58280036	48710240	67592032	49482148	61015732	46951900	60572340	16716681	53287980	20408978	38367784	58406356	53393944	16173416	43790616	50038652	57665740	35740680	36837776	32661820	56929400	51166916	36345956	66358384	18790452	33934636	37343128	49192880	31736774	49037956	22878974	43352332	13814482	14821575	42323476	78372376	32985450	35063228	35447840	8516951	49067168	43488332	13901198	44767028	58883396	22705474	8836215	74807832	49628604	82624184	52308756	83807464	40303124	60312200	38469028	46077064	51871588	44474480	56356216	56910456	40665940	47176184	32071824	54398280	54869732	49051652	71619128	80956424	46722736	50674420	45622536	53430824	58398216	49717032	83906360	53722200	62146400	64019476	49088596	81103432	46619424	39801328	63079564	68130120
38667	422032	691593	1752542	796474	640668	276207	327888	784046	807486	1645075	348370	939965	410093	711091	223152	354228	753149	444013	862250	739489	610977	485775	365636	842297	503037	303995	543732	496300	777422	375264	469076	453760	776781	325976	777034	843503	561293	843963	346122	729152	491097	311654	506557	1080056	785525	619300	578734	433417	336554	512089	516260	748462	181473	207483	735440	399784	532429	361298	394134	341764	400685	241595	407042	548913	668130	170710	518081	321255	409158	552051	623598	302729	389859	510600	534402	435796	232143	406528	265792	979778	639941	222336	453028	647807	469948	929591	637302	424416		842712	203302	488460	516814	932306	442493	356780	738309	993239	240891	527999	698490	463921	502514	753304	257253	514743	845780	530098	369283	745812	264118	763556	510077	493625	742791	494844	773979	578186	179954	427605	275594	665453	471973	894884	610870	425373	484170	350869	410344	707042	405861	614772
46547	346535	574071	752784	1817332	1623609	50639	568199	445607	221205	301454	661011	396136	102661	710093	585993	120197	308193	652277	396846	309573	327653	390581	283125	273098	397296	299152	247589	268434	272415	1070031	170668	209562	1271507	132084	466670	638042	414283	954511	202094	301265	813792	389172	497316	461690	297697	688674	438928	711223	7746332	143050	256692	391599	167613	571276	338918	299724	389622	160820	174541	407724	336006	4148833	649149	1094520	295895	354622	223557	451410	296257	804634	288357	107417	299013	878478	288517	594932	5145707	260621	3703619	288040	394869	821115	1000978	430284	303151	959101	1241526	770388	584232	426413	452138	295236	264151	1884100	1278984	1106730	994014	863510	354426	350774	496440	411411	269347	595702	540413	259448	146570	352280	82620	278294	356550	211837	355754	665416	939180	975275	417150	439515	258517	309118	581732	299498	997029	317980	410858	454109	616152	390332	196644	230630	272816	343435
46548	91650	332246	458924	348876	206051	117718	51031	397459	476366	433760	203043	388738	172726	673268	144150	262747	282261	142055	318311	689815	677772	378967	368383	902298	219798	264582	264786	253268	223463	406227	612510	195353	269045	106022	800770	364154	204534	539397	245148	321804	490755	87808	380205	1483753	1125349	371542	643778	427880		600318	318919	568761	13268	285177	1179887	356211	139755	79474	149721	229591	268407		500388	897931	95883	73754	211184	60531	852540	473262	653417	31553	944487	781837	361928	534773		228555		550990	763938	755750		582193	432150	1802212	1384345	591167	166182	851679	369196	537074	1018391	389551	93386	245478	488829	2065357	358852	463416	392903	398423	339179	907772	80635	167622	332535	765277	386393	919884	213834	708743	131924	269836	773638	211628	1901842	651063	349320	186714	436378	376402	275598	689388	290020	436129	506859	272160	411652	2264501	397525	590481
15677	438100	2082676	68932280	6163343	1363585	621457	9308934	581238	13857348	183817	2387595	64643508	21846172	3883132	769438	6365737	3275184	6016956	267209	642722	581802	17457126	64326988	1580697	17473232	10705613	40178936	6579938	19929786	1768423	746229	8757345	1290193	7969031	806273	1385618	37793020	10071492	8629910	20670644	897531	297184	34077700	1742650	3558936	7038763	1629116	6839534	22196180	13113815	27164382	17804628	22124180	6899829	5983447	54807364	758682	10081370	3916402	8838244	3993919	8307151	1901697	9008976	993790	5292747	7463053	271558	19424766	39930624	41748292	12040982	18926610	1559381	4464591	12578776	18991830	2160908	23389528	14831913	7988112	1756832	6686104	21752854	4094161	6070937	6793906	1252178	23751258	4153649	3595323	1910943	25873902	895843	4975795	52487588	1338629	1813208	30054760	33310982	7997794	19515570	6428188	2442867	1158281	537848	1054964	6028240	8914229	10695082	10274023	1145394	1880898	17172964	25978286	25712726	5940380	23647038	9603040	29633060	6441246	5408983	10379010	16600993	7730988	1944531	13098220	32976660	5428287	2622001	6640476	72854872
32445	1031340	1040560			47391	88199	1634500	168878	12001		899962				339336	95599	241384	19254	156945	150763	136716	578509	506310	2633335	39066	730255	67500	115715	4768837	26231	711320	348041	359187	118543		190925		1002988	547525	239984	354357	724431	1714068	292238	60337	240033		78695	1498566	30368	403999	35575	11523				459957		672963	326572	794494	947938		1005978	153012	23681	124194		268394	1119831	1303149		596725	369016	471791	2126961	563095	366329	1412859		2399321	1148504	646830	2993169	521348	344412	405985	1244516	403999	41706		109955	197793	623336	7511	1072066	72931	653174	233890	11593	192824	234975	427685	895616	373183	1235603	347914	279889	453349	271675	672924	2298076	1276155	271154	678816	135509	378119	781126	1049688		449198	713246		402013	592910	2283199	726404	531188	180239	375592	1288819	1765481
15749	507100	112187	419419	388198	1516396	202577	532377	1130201	1459519		146607	890314	4296894	273474	3481723	3722460	152580	1309780	655917	829483	940457	433610	1416603	443253	170522	797971	1028065	146341	1699881	5059893	2501384	5422238	584878	963621	6609351	2930286	102493	8816003	1777840	1354954	781016	250893	923268	1158311	61076	8124780	1063700	823876	3076972	13201135	798029	704604	549007	929086	2945062	738614	429509	1731576	2074984	791544	1422658	586377	10409551	923268	4892825	851869	2059769	504975	1438744	592906	539400	107585	1962517	749131	2311009	512421	3334799	2813262	1733812	760092	99326	343876	957305		1242536	1447415	188679	912148	1826071	2992114	962522	6393200	640131	153464	1315613	52596	4835820	212831	1095442	3218427	169109	151698	2437996	199044	213795	59591	555782	86345	548181	275276	2727275	212492	634478	2771036	150182	1010782	214376	2875900	3272107	917450	1688676	285073	1022660	4696565	732946	790622	775098	1778588	2772548	2906223	1233595	1273505
3155	1236167	657253	680318	674666	657814	428807	864441	473108	593667	589907	403527	353685	252540	639319	420348	489054	437035	576536	385187	445763	273406	418828	619910	881405	278215	280550	396536	346225	676929	521904	407215	447179	432541	274013	856525	251391	326972	527702	426709	335653	422248	384876	740996	339416	265724	793404	738431	411101	371239	560097	342123	283065	286723	435649	146548	352023	736589	368433	467400	584737	376300	499695	459320	431799	738534	226822	331766	1063294	421011	548825	220859	552777	325341	256389	272643	389386	341216	380644	189368	157368	621334	888580	44069	539464	329743	636434	234916	484291	336608	746864	407550	404843	367179	387520	1219306	479257	646009	534248	494107	436391	449779	353194	464290	460885	287562	470133	69643	518023	532901	429880	462555	587847	283441	435419	297449	557600	347882	432771	323308	598408	583189	485475	3074988	305084	401523	519134	579769	604376	604263	156314	465603	368382
1558	1313750	1590155	2178681	1885925	2253608	1769512	3264388	3517164	2976529	1268887	1412019	1010215	1965329	2037894	1494765	1897692	1810482	1950735	2532915	1641441	2880880	799463	1151409	3246370	1394511	1337514	954977	505803	2476542	1385569	1649669	1703358	2179740	1713837	7333374	2236218	1184948	1288571	1593258	2720955	1315368	1333281	3313201	739233	3436372	1437808	116055	1386319	484407	2288645	1204839	1476418	664661	871597	1462814	2130431	2489384	1108871	2083258	472431	1415138	2521044	1982665	2398649	1415332	1420861	1304922	1086932	1623324	1091494	1722328	1814007	3026326	518107	1247222	1659736	109368	2525080	1600419	1859766	2139964	2020060	1730002	1485053	2274064	2768874	2634975	1847020	1348493	2190341	1454484	1245988	660330	2950414	2177217	1165992	1571621	1242989	4333806	1159237	2143577	1094553	669356	1619603	2067978	2978253	1501790	1601485	1410191	2517147	863614	2533313	1475463	2605564	931842	2354057	1891146	1286211	2298577	1809365	1049461	3185587	747186	1536279	1583190	207343	1440615	1128950	1704480	3742003	2161733	2189027
12032																2038055	5368328																																																																																																																			
15736																3333653	5839277																																																																																																																			
37475																10243141	17322516																																																																																																																			
44620	271893	260517	81908	129759	42005	74886	244498	552564	23755	116274	81532	90870	28539	332358		66067	67325		581620	323231	222190	34950	111023	209860	210567	45379	126853	42565	129145	25545	132493	224341	44367	136312	198372	96844	81951	239329	129417	166877	164647	109932	57858	121878	237052	135135	178906	80442	34817	55542	104801	173440	29239	106894	79219	42034	102811	107389	276273	48922	37249	66435	146478	101157	1766251	48401	210692	39016	241636	54046	309180	77207	89198	184778	63564	150861		105902	118855	242469	150890	83121	13866	99642	64362	308175	12286		73804	451951	18177	118066		284850	11166	75674	265439	82052	200587	35054	133926	102200	217710	389531	77752	94011	129898	65802		119858	179846	132777	167661	99375	70419	119455	125790	30775		117277	134222	465151	114254	114163	398570	125828	156574	124336	248868	149673	198312	175269
37181	465543	6613144	3052897	25882028	5011009	25073210	2179321	4928262	8374403	705486	380847	1596692	3127747	9604930	6609237	23243330	40160916	1201228	2224211	2224230	2287331	28121432	8849352	6222616	8762468	247864	7251799	1287839	2328840	3402307	4715707	2736426	941377	1868835	4673106	1039993	3145897	573416	7929525	6487999	833044	755332	2319466	3474012	985152	2898773	5089380	1672747	3588210	3265080	1837600	229303	4936861	7802848	9648854	1561688	272248	1895173	821140	1472963	588635	343807	1425972	1042480	4882641	434558	3141041	248337	3385483	2110776	6259670	13546110	1250231	531342	1076496	2125115	123916	4084024	3520571	782715	994177	2234540	1137899	1659111	807629	3020588	1012720	983867	1411922	6955820	2792886	1040336	891660	663151	3597299	452427	6180833	228141	1876730	18514944	7562731	1280890	729540	21330788	4576323	306118	2873012	2083416	1079041	1099078	1302957	13214232	288203	685834	1397894	2218122	1169626	2394484	280430	1256878	29945598	1819594	2014870	823642	2069076	1874725	600905	5795461	2810821	6916990	518157	3197131
37207						4625																				21408	4162				12031	42757	13382	74330		203852	18908	72189	15048	58123	20000	63491	13666	28224	13443	53277		262447	79989	289376	104086	49323	125692	267299	732805	121859	347029	193645	455339	190734	305796	84721	268520	262447	250508	179180	289845	491250	438923	364389	245995		63579	290912	240062	412588	262447	330143	596811	836673	392524	994004	424894	926086	294178	393063	269869	467509	400811	812591	278836	1351407	903386	400964	262447	1529915	320303	294364	1432670	938607		50562	42942		33106				151018	148106	195112		56382	28848	205053	309926	241520	583979	221061	227721	1005529	401039	141080	84127	700356	546677	819332	475761	182499	391862	513535	614316
37209	178290	241111	109793	392488	290414	295970	66204	382985	207977	181002	22510	143707	93110	380864	377735	431140	144355	633759	235856	376444	590563		235002	278208	496091	430905	971473	158314	303287	326838	1155200	754509	1772031	959062	685413	2407486	1157680	1279000	857680	1390155	886723	581002	1340246	506056	368599	779803	1190739	2897005	2429723	2202008	2230637	1077308	1422229	5436019	3736196	802761	1290337	3193984	3717995	3195497	2209473	11848727	1144755	2298751	3697422	4171485	10270153	8551420	175328	3306862	2601925	846230	689815	2625706	4952348	2562938	8140607	6238263	4185847	7794774	2867620	4559840	1516641	1525610	8785549	6523751	11269733	3895132	6794582	3197769	105412	999508	4008344	7782017	2726842	4100825	8153280	262973	2932678	6601692	321904	1374573	715907	158363	330309	540086	78953	848039	1401492	1795503	1654836	199165	866981	608618	1741400	1163852	1440623	5560110	989011	2831749	3851787	1730677	2115191	1151815	2886947	7609607	2899947	8695573	4675728	9627228	3530195	3431142
37202	226651	145525	375815	1024016	614614	1395719	50114	444132	1067865	647019	299585	265136	25583	624171	195699	874304	56491	2457828	330064	410679	521098	40912	230435	881539	2193329	2699425	2703997	175621	3228643	544756	2284410	2405622	2874532	8438026	1543879	14756723	5409937	3348725	4213173	6841678	3748301	4565904	3696763	1678096	4495287	7630803	18862738	16016958	22722616	13558591	7535620	3711731	13045264	27799826	14605914	5140742	16161445	9832184	59015508	32658204	34945100	133702880	4003807	18727538	7583211	42439800	14771446	99237264	2018636	30651576	14301058	12367279	4417976	7935231	36099924	21531462	53283244	41971704	142788496	74326104	127780272	79423960	19997824	12674060	21412152	70988168	105942328	104745592	40680180		6140440	6410611	24008620	559595520	20053146	55999944	44979556	6713685	22314742	57744808	850211	6305417	3482873	726341	2227407	2340627	176647	4497516	9618104	14376014	29033706	609486	5630308	2179871	7983688	10699162	4522937	19127184	9149939	7231191	25330000	8861005	10541132	13617396	19205370	37589096	22293746	47132420	9436705	40375196	29955500	52715212
37203	207382	206062	209199	578821	520251	386900	130898	261500	498192	307325	249544	322424	20066	502439	200414	266852	41823	656252	146521	144619	316025	374576	182395	269596	884006	854820	967776	100323	692296	288458	1046748	969150	1137269	2390391	991286	5142596	1661214	2513989	1371350	2015091	1788514	1664456	1868052	696546	946495	2049639	2704700	7549280	5624390	3725921	3411897	3437903	2707151	4395093	6011479	2907439	4953897	3067060	13765732	5798541	5265122	8403462	3554531	6247498	2539752	7664106	5982088	17260306	4400942	6887023	4813794	1488027	1451602	2992628	5620525	8242019	6154070	11329975	17231366	21112302	18122870	19551668	8844518	5656069	6623499	10984352	11419401	12126617	13210830	8096817	2929013	5025022	9354053	18747158	4632320	8865883	13524394	3072495	11423828	9296451	543548	3014201	1642006	608840	1906287	1354819	66562	890525	1978133	4654245	3429949	653284	2585015	1569118	3288224	5872728	2770792	10089430	2904765	2666655	4906286	8386753	3016875	3831084	7922441	11723219	7590330	9032132	3150848	10037222	5162291	8975780
37211			30128	53202	65954	215519			97124	49275				47615		117769		423504						48359	283223	491259	227824	24356	231710	125220	255085	623484	183365	1317272	248102	2294635	575699	948266	430133	641488	225959	716849	307298	204666	263321	1472317	993818	846554	1498562	2984625	1328482	674412	2142406	1978997	6170110	1672687	2075896	2017796	4315989	6077960	2934331	2412654	1294054	1282635	1687192	4258740	4323977	11002791	419535	1708724	1347797	1022907	309416	1111401	8084485	3671726	7516907	5591001	5797464	7102709	10883864	4573116	1402201	7901218	5844763	6729726	5255178	14177626	5218399	5427903	1347797	7486152	7065621	12438091	1465673	18314034	11490315	1347797	5835764	13674446	104063	878373	254792	55292	140917	102938		513683	1775544	2148644	2646371	24349	1017706	373727	1024273	709215	1001314	3459153	983575	561543	6494030	1905365	855249	717509	5310297	10627673	3032700	3963625	1503627	9996100	4736510	3755374
37210						32031			17284									46274							35207	43877	38402		27257		37952	69502	44192	25888	14710	394023	138636	67666	58076	307328	117605	206259	62690	60273	132861	270713	464118	374843	477744	384433	308717	188210	431324	566493	413648	213098	528324	388259	816828	1025691	1251850	1304814	156356	458199	360735	560736	260954	1471293	143318	895105	460507	315404	243189	212853	254917	653085	1374962	1722714	1714076	1350581	2351337	978142	365897	466281	547898	1472745	1428643	1058372	688492	1002567	114862	532005	328860	2282522	541962	693219	1014909	268870	1147420	997900		117943	120859			42415		119399	177366	453462	594867		88235	61967	423976	380607	317257	797790	143792	344263	592706	723404	330347		566851	740799	979023	1011633	166730	992698	931420	1063013
