COMPID	333	334	335	336	337	338	339	340	341	342	343	344	345	346	347	348	349	350	351	352	353	354	355	356	357	358	359	360	361	362	363	364	365	366	367	368	369	370	371	372	373	374	375	376	377	378	379	380	381	382	383	384	385	386	387	388	389	390	391	392	393	394	395	396	397	398	399	400	401	402	403	404	405	406	407	408	409	410	411	412	413	414	415	416	417	418	419	420	421	422	423	424	425	426	427	428	429	430	431	432	433	434	435	436	437	438	439	440	441	442	443	444	445	446	447	448	449	450	451	452	453	454	455	456	457	458	459	460	461	462	463	464	465	466	467	468	469	470	471	472	473	474	475	476	477	478	479	480	481	482	483	484	485	486	487	488	489	490	491	492	493	494	495	496	497	498	499	500	501	502	503	504	505	506	507	508	509	510	511	512	513	514	515	516	517	518	519	520	521	522	523	524	525	526	527	528	529	530	531	532	533	534	535	536	537	538	539	540	541	542	543	544	545	546	547	548	549	550	551	552	553	554	555	556	557	558	559	560	561	562	563	564	565	566	567	568
54999	3339369	2638169	1685840	2716610	4366403	3740602	2537275	1447643	2219055	3856623	2709908	1015160	572384	4510034	2507858	1161752	2987615	5269104	2526173	3615566	2319073	2134500	1338325	934726	736246	483727	935144	754935		1541332		6869902	1458449	2054642	2239460	3416698	3939192	4620720	2525585	4504538	1447297	903752	719331	6761154	3539347	1888470	1268577	5280708	4374940	1978688	7091662	1652771	1710051	3458920	2601858	5592123	2369434	3595678	2962836	3716778	4914320	2601690	2338217	3094535	4311040	1512708	3299829	2528781	2915089	2365751	2583740	2655780	1752741	3474088	3544092	4393912	2499496	2714067	1628669	2732583	1814309	1642691	2208295	1953738	2062771	7028616	2201831	2408970	2859346	1861061	2873914	3778932	2732441	2099202	2849114	3743761	3661261	3546423	1874049	3493917	3026599	787140	1606247	3655896	3041719	1415310	3837449	2765454	2893846	3022831	1383598	2462403	3512285	3951719	2603790	1250313	1157696	3001834	1618327	4792732	4335796	2185388	2462403	2314651	1874041	3305125	2636468	2739358	2838332	2425309	1592362	1946726	2494729	1674991	1525376	1405057	2955879	2538945	2972834	1714766	3167464	2341114	3025847	4128530	2009629	1967374	1606437	4431059	2438745	2277338	3239685	2018538	1626491	3800691	2273848	1000778	1055144	2562920	2120276	3530073	1344318	2015436	1549570	2677620	2973668	1726245	4715641	2197275	2547165	1882696	2610789	4203637	1698309	1024510	1982679	2419138	2099611	3115780	3085017	1927171	2732904	2432669	2312611	1718971	2668939	4223094	1793556	2373239	3144403	2173065	759121	3089618	2522310	2607976	3681577	2735146	1590273	2072826	2984314	1866337	1776085	1879890	1586543	935967	998218	1784662	905303	3039576	1361233	4004691	2298208	951943	1251284	2160565	4482420	3452023	881731	2059028	3762173	3255251	1296150	4373262	1139401	3545619	674521	2044157	2345357	2139557	3470095	2077701	3501733	4666301	967303	4849273	4135154	1066680
44621	3893442	3289298	1781604	2724465	1404523	4088270	2479917	2275541	2206565	1440657	2833592	1188901	398402	12194539	7844465	1675636	2495360	2068407	3205727	1859157	969175	2693585	3857047	14825073	14388360	7313601	5909246	9069719	11842424	2084730	2811533	877182	5061453	3230389	1428986	1378757	6924605	2448684	2692415	2455785	3053328	8815316	6464894	1555876	1438267	1477108	704045	6230284	1803191	3997669	5776007	1652738	5221007	6549937	874695	1616200	1114120	2077766	3429416	1360145	1966946	1594457	1386484	3982875	4619538	579818	2448907	1738135	1295647	746941	3950500	4842271	2104322	1196981	1358382	3967168	1636399	1104643	447896	1046822	1032093	1118641	1078161	4263586	1006571	7755582	3264849	3012985	1990827	688106	1004238	2922641	7385664	11126854	4185674	3452802	2846746	1968741	1688069	2047454	1035283	757137	1793547	3098804	5660495	1737101	6520861	2910184	2786488	3971970	1913063	4112941	3738231	5897884	2621678	1993326	3340208	5456876	1508870	3533114	2297422	3610424	5210378	4064022	2627535	5419396	2075893	3772960	6043352	6063094	1904013	5121570	3365289	3717265	3478230	1744480	3618791	3647796	3654998	3390011	3810458	2825679	3176271	5143651	3416524	2961744	2792237	3501203	4427503	4461236	2894514	3222196	3883981	3250592	3019959	1429011	2266837	4689683	3833392	3560388	4676872	2288364	3857902	2402908	4635938	3289170	3504552	2584904	3448093	6230134	3216131	3548088	4619288	4812710	2373140	2995176	4089230	4661692	2434978	2838136	5048128	4356867	4094878	5283689	5650916	3018593	2370782	3551738	7548597	2564733	4190087	6296190	2904591	3201807	3717182	5792248	4789939	3857217	3932527	6499351	3994471	4412908	1738751	6093273	3459150	4342155	2755860	6788688	8992868	13075661	3932039	2659377	2799123	1050714	8555816	2030566	7533175	6687063	4869709	3834304	4068897	5997527	1851982	3703836	2949775	3834501	4791216	2943093	1970162	2559916	2873205	2662260	5499878	2592932	5190420	3418587
52689	16689490	23730032	30960872	26186690	27238174	17897412	21238940	25879120	34060252	26432114	45931088	18596618	32195216	29031114	25965828	23668132	20337468	17807090	46703748	19991290	25393236	22614884	30513698	17635662	15498426	15875287	19622840	16861718	18278524	24415080	40158176	26145646	32886078	25150804	21509250	30227570	17456258	37893700	20797486	24541810	33055890	10785905	23611554	25614608	27084708	29329432	21312036	38126468	24665268	28051882	22718388	34017604	26574820	32369680	25829938	47797700	28969046	31250576	50221568	51523928	31935610	36361204	24822184	35060056	28115268	24995904	12753179	21517028	25957142	28198772	18941558	19962530	21491070	22337266	16896920	44958020	24382170	36705096	21595320	25162798	33926620	28997368	35282804	31623360	29034548	33086724	26352536	25245840	38971392	42110680	27791068	31400270	26194916	23855122	37928236	38199468	24022216	26544964	24631622	48704076	29299382	36131732	22636040	40381364	46865948	19339660	49551260	19901956	34450688	47949992	20621598	33516806	40854148	27763966	24178186	20260586	25572136	30120120	23492212	27301978	24884472	35889964	13117366	30074570	33823624	31010924	23517604	13628374	31535724	42474700	24753552	42363596	27514018	25520406	38230392	22919052	41899284	32173710	22268008	53246836	18461514	24712008	22055520	42102404	29295452	23555960	24624658	24168992	29186490	21405950	32940428	29423204	22074804	26983562	40708300	22142022	28947418	48504772	26610520	27532842	30276330	27238838	21689156	31549046	33770512	31931838	35203828	22311594	32111600	48488520	25217290	22408056	35469620	36355944	26320892	26733994	33117174	18364472	38668096	57000540	54052604	43931968	35919232	24706252	28538870	35955428	19854100	38961776	43534196	20586250	26186994	25947424	25843402	22836102	38117324	29030974	23706300	34431208	44259324	60540604	42493008	26769694	31774940	22887536	15149305	17967200	47808816	17743658	21469850	22229768	19964486	36286188	22255778	22953230	20438190	21532568	21721998	19535286	27072874	21061786	16770113	36857008	23291286	14498610	14858096	21060074	14348030	26799548	35618724	30389888	36363836	25605350	29747870	28674114	36266704	25986358
52673	7100072	20953388	22487120	17408376	21293128	14151417	13987416	13161458	22021906	22787924	40763964	12494146	15579514	29468592	25502050	16527578	12055086	16144246	33584320	18752364	16275150	16357491	20269600	11418337	8522540	3480760	6144278	6561049	7416448	17238726	20627400	12858043	20718078	29239066	13335402	19184178	11130829	38316644	25384112	21553330	18436450	4114160	9678072	27490002	19360918	19526050	12910716	29265178	23792126	17024630	27950500	25121736	17221620	39581176	16672583	47196848	15694700	19841010	38735952	42707128	28850718	20742518	14889760	22237716	21926698	10765144	17256808	13598082	23442232	21910412	11458773	12743065	12993712	15254940	10333305	34077224	24589834	45625160	11836519	18041050	19007654	15084393	24366956	28725534	16847602	23780354	12793071	16757239	31785202	22351108	25055484	28312080	16457241	10241363	25899448	27651774	35250140	21095202	20104900	38991980	23438286	19782212	20741474	28357334	55826028	14064765	62301664	14980142	29319970	29735682	9478000	21805118	22063540	24836166	16145148	15322589	16443629	30601702	10385481	23858396	17061748	32218092	12739954	29488270	16987242	29739976	25804482	12592178	34001832	45104336	16208323	27703212	29101062	17274664	19827002	20086210	23981980	23864118	18832676	31056544	15775766	18332864	14383350	35215268	16037173	17686512	17042226	21002098	16802338	10877603	26673464	17038500	21183046	26201736	25483126	11109313	15839202	30101594	15640764	22475812	19089686	13737075	14699340	18474170	21961394	23041106	24361386	15790478	26843792	29187596	12094812	20997420	28755770	21790696	19203366	13932187	21699770	20307030	27254340	48950500	36707972	28941904	29533514	21917424	22238888	28018082	12274725	25281330	29204936	16549834	14653188	19463568	17456330	13916139	25311960	24943686	13947192	18548832	29713634	31345796	20091922	15108804	18519640	17341148	14701843	8128085	22924528	18424948	12537801	15574252	8992946	27102748	16399030	14437578	16403125	17238166	15732442	14339632	25436036	20735880	9912717	19947348	16311240	9451227	10531641	15190214	12095300	21792840	34919284	19103870	25189846	24343252	14508562	22897776	26256442	13268937
52682	52862360	50985608	48706516	59707172	85322952	60804676	45665204	67346256	76402888	68808760	98626976	37427912	71920704	68878656	56338080	35140456	58781404	75415040	69664800	71295264	95538992	78315328	67147048	43846996	47226188	25285766	67855256	51822080	55308172	64072860	75011744	54321496	66351024	73358328	61378012	76662288	47451548	100527288	56903964	68267000	60405668	31185816	75716328	101616648	70222136	52520532	61281300	95879712	85007912	81771344	94927112	82019144	67691144	56247796	47158340	115791608	87315664	74465728	132846624	97596392	102660920	76261624	80870320	74639400	94129400	68155000	37114660	41958352	44925420	58860336	55080124	50251028	57565904	84625328	59891424	97101808	80345672	91217680	49477844	75531560	67477344	58293812	71583624	73359072	60721952	126593552	63394860	88671928	94480144	96965928	83476344	97423960	102578512	51243032	95276832	104385848	71718208	76445400	74917056	117470024	78855984	75124144	50196492	80607296	80975144	49831552	128384040	64390604	67275952	115776832	45263608	63332468	117771840	91855608	62464192	69897688	55455516	82489472	51974032	108504552	86702264	72896472	55350140	66561132	68647856	87617816	68660592	46089652	54600808	91014840	48833528	67844184	80312816	85453072	92054008	81931184	82558912	90545912	81637192	96181792	51817508	90643120	63789136	89905352	67674104	54265748	70882392	94621280	95183888	88692872	78962208	88116104	59911796	81605128	69485872	49305192	79921200	87924800	70034312	72401992	66497744	90260328	62179048	87771664	75295392	72954280	135989696	66149824	59303924	73413080	68247736	70340232	100859408	85015672	86900712	65335948	78192568	102316496	107132936	64890784	105623592	84763984	85453144	73579712	81012352	104768400	67993600	84816448	91758840	67996640	70606016	83257432	72472984	64658160	87948776	79484816	54317692	82914872	110465760	83535032	88777016	61039292	67824072	81690224	40437244	77574232	65883528	33081998	40940404	50623144	29109210	68599368	45724192	59855952	112837432	82103144	74606192	32490552	49411176	86160296	54254260	106574824	39676240	40079896	29734960	57340652	89983568	68973128	66410376	86707496	96454920	86176264	49344816	145347456	84079832	48189524
52677	2133588	5633011	3953168	5948135	8944208	5588373	1714194	2090507	4012970	9191490	9625453	2330864	2230877	7937744	6545334	2580160	1808642	8126212	5411079	6219024	4077613	3734457	4098384	2398471	1925335	942313	2443984	1096663	1069812	3339613	3066627	9037341	4415539	6451290	4224234	6347353	4723853	9414319	4836458	8072695	2758974	1905642	1834542	11457043	4418575	2847596	2635865	5943332	6475732	3949167	10324021	4388173	2819709	6924285	4884735	10056680	3925809	5115091	6735527	7216089	7826316	4149673	4891489	5792771	6791010	2590542	7852814	3119926	5413767	4888975	3460918	3205653	2636907	5220547	4516534	6042089	4500971	7249632	2866189	4744701	3136950	4922958	3561093	5542977	3733607	8603459	3320098	3628688	4783387	4235389	6313004	6234101	5727881	2672203	5973317	5995004	7225314	7332733	3505621	7124262	6243484	2655036	3647438	5674868	8311900	2821739	13053707	4470654	5007671	4435293	2120954	4830477	5384037	5833953	3809545	3309914	2935162	6398968	2777295	7289275	5357146	6918189	4164262	6398780	2748816	6083281	4310026	3147776	6063489	7292449	2451621	3482816	4731447	3851406	4184177	3578710	4985646	4321390	5672794	4264705	3150132	4483785	3990145	6814300	2303714	3706439	3873617	6469591	3955119	3624636	4684750	3073120	6168486	6709311	3166524	1789191	3979036	5633510	2661708	5367637	4032641	4144940	3387731	4575601	4253341	4443638	7310182	3179816	4470657	3667760	2783960	5889115	7615206	3700139	3166559	3723452	6909477	7095756	4798371	5613558	4479309	5872305	5179202	6195509	5458668	7534852	2785059	4011947	5763921	3729816	2197421	5587057	3582865	3103349	6093555	5529839	3269660	4156156	5681095	3674333	3214792	3518034	2994344	4115436	2981053	3551057	1859362	3871168	1783840	2822789	2010857	4445755	2803030	3815141	7230944	5455847	3166257	1996359	4172048	6320755	3073640	6652059	3061380	2877844	2033848	3488578	3936447	3341412	5522167	3530488	6662982	8255318	1887039	7831318	6209068	2141476
52478	20950400	19041108	20589178	18734764	26859262	18439560	24326396	22190198	19776634	20431562	27472272	21251232	26435156	17060814	14993921	13122139	31074618	14425714	24112556	20163180	23809438	19999652	19366016	22390624	21122378	9622851	22417148	25259800	19274854	21728894	22107614	15977655	18661688	18984934	15798366	23023952	11925227	26320674	16287821	13400106	19707382	11466269	28088918	24669618	22527634	18151702	22229016	30900252	28085170	19561150	16862332	23363350	22242826	14484882	16261085	24363278	23389182	16622936	30811960	29843466	24645728	27476140	17266326	22522224	22932348	18294962	13177857	16877340	13349929	16449980	16894002	12529901	19123906	22302090	14824649	26642614	24464714	25157788	18168680	28831316	32014352	16532574	29793218	21719720	18642498	30175806	16908426	23295834	24688702	28954706	20401304	27251810	29418322	14552125	26887038	24503346	16707513	15147867	25501210	33992540	18341160	23341720	17793582	29744704	23963174	15744192	31574834	20048216	17701896	35702864	13615395	25200884	32364252	19806050	21832142	23858728	19989928	28369926	18871232	23540786	21541194	19062414	19307768	20938606	24366028	20137312	21705854	15877046	36427380	24263954	12052412	28545950	23578764	19265012	21747556	22871314	23874530	28203768	22350096	26132992	16461678	25740520	17674494	21896356	30572520	15602769	20823270	24037640	24555308	23232040	27057806	26330632	17676816	22817264	22257206	19323122	19730470	26843350	17717368	24617130	18912136	26572718	24385680	29590554	27270152	22481692	46808680	16277001	16256191	26012618	23990898	15942979	37473220	25519084	26402976	21046446	23501428	27944784	27503340	23743122	38445336	23224548	25528504	22455172	24393156	26356840	27165596	23223768	33082044	15632964	15567705	26168846	21387176	20352392	26649194	23950540	14057255	24257238	32735834	33505938	30902028	21374948	19940902	24309348	15652353	26011550	38114600	20352932	24631848	31794588	10236037	26470412	24210936	16205717	28796668	22657228	21729688	16637876	24402040	34685224	15301663	26059118	13271554	14928346	11811166	20272944	25442506	24962112	21600402	23048752	19202852	28865734	14389944	32488224	28416988	16034622
52477	3023254	3715546	3420317	3548995	4848848	4013149	3472388	1555496	3102046	6860878	5210414	3681182	2730028	3928533	3617410	2440325	3378192	4140622	4154685	4590440	2689212	3200057	2756039	2030316	1892213	1119866	1751591	1257626	1319797	2173687	2658834	4541937	3061926	3496271	2819514	4711804	2949485	7772535	3285688	4126837	2251463	1333909	1695295	5141314	3391136	2440830	2311232	6919278	4663958	3137067	5153032	3974798	2677441	6368000	3405668	5559768	2281127	3300292	5637220	6123818	4877160	3977039	3757687	3999300	3748158	2229377	7308110	2160365	2773117	3302423	2096096	2165636	2590416	3222164	2161187	5059588	3690121	3823171	2198605	3912085	3210385	2973328	3892721	4562205	2361815	4565532	2095307	2531678	3994641	2834298	4170757	4025523	4630732	2033373	4571823	4716320	3592638	3335159	2960879	6809104	3525069	2922271	3295881	5241322	7300258	2863849	6693210	3889175	2685157	4410502	1787102	3392724	3975655	4197283	3237215	2458524	2283600	5045493	2376684	4117336	4245467	4101645	3538448	3769493	2416474	3575352	3914005	2837380	6008983	4405994	2372601	2748499	3470097	2794379	2611196	4215166	3557925	3207251	3731177	2823306	2962218	4099256	3306699	4242381	4136626	2998762	3303844	4331920	3191336	2300425	4583681	2641099	2971403	3973507	2834749	1962663	3063112	4597668	2068112	3595578	2581474	3816846	2666480	3266894	4251288	3066282	4895786	2550532	2963283	4085436	2164224	4331088	7376422	3952109	2817214	2165048	5180793	5049510	4485701	4754838	4276291	5457055	3464772	4649650	3449359	4439837	2878458	3338844	3363543	2188046	1853692	6291974	3350200	2677511	4222585	3807277	2439831	3542774	4479031	3965934	2706353	2390734	2621733	2896974	3019150	2416468	3060927	4177195	3262960	3769263	1790775	4850605	3691897	3046498	4421932	3603283	2659898	3263776	4382116	4577410	2205865	4488774	2344544	2208277	2294760	2684640	2581688	2623573	5096805	2502623	4123206	6032726	1648341	4656045	6224415	1809064
52713	1559709	1638086	1921202	2208899	2249305	1408014	2140390	1717558	1764157	1720098	3131069	2149002	2073347	1284698	894118	1085245	2453787	2078160	2153898	1677337	2126856	1229973	1550653	1945841	1571554	1230377	2089732	1574954	2911662	1711507	2426384	1099087	1026961	2455781	1494552	2427525	1418044	1975880	983483	1815026	1140600	795317	3726992	2333041	2054584	1747757	1798401	2762044	2129016	1301569	2145117	2749633	2038068	1015258	1569407	2392177	2232692	1921000	2627021	3116216	2750325	2198878	1829757	2964919	1746293	2371629	1213864	1317261	1261615	1610201	1290332	1246651	1406294	1816956	1210761	2233753	1634332	1852537	1515836	3028689	2733826	1563907	2094309	2112367	1751766	2992878	1576170	1806804	2561184	2616653	1492937	2479822	2653757	2145313	1873436	2401094	1375301	1508022	2119956	3351576	1784748	2466684	1262995	2520878	2286198	1459967	2419019	1334572	1775302	2405588	1508086	2687136	2050430	1334705	2062048	1282811	1826021	1420862	1790839	1685812	1657604	759149	1675293	1920924	1823135	1824627	1841519	1104076	1841349	2054693	848432	2166377	1926430	1852735	1777452	1779632	1710972	2214369	1926686	2481003	1341665	2237133	1390454	1832999	2043003	1206240	1908424	2161199	1844559	2077045	1838035	2125199	1046061	1669768	2182937	1443723	1623966	1883105	1110026	1905042	1610575	2180789	1944090	2129974	1676005	1476510	3279649	1788408	1460572	1664259	2194071	1357605	1985819	2540225	2500781	1386024	2619970	2750230	3261836	2259657	2803526	1462769	1490688	1833173	2872318	1999942	2411844	1540990	2726727	1295070	1371849	2430985	1838897	1592867	1844389	1784042	1800746	2385246	3058664	2203480	2977375	2301024	2654437	2103116	1817765	2116750	2372197	911836	2788611	3160281	1157424	1926107	2338093	1322885	2467487	1766077	1622070	690230	1896424	2357918	1667495	2619417	1335061	1222656	582056	1675671	2216914	1589020	1593882	2232017	1490152	2735540	2230719	3773077	1728811	1558806
